Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
1,3347,1642,7.7,91250.0,437.0,0
1,5757,2045,6.2,167538.0,460.0,1
1,5473,2258,10.8,43047.0,1857.0,0
1,4614,1862,18.3,58611.0,2055.0,0
1,1927,1090,9.5,101250.0,405.0,0
1,6083,2694,3.3,120909.0,1041.0,0
1,1514,645,33.8,31974.0,938.0,1
1,4508,1782,30.3,35833.0,2265.0,1
1,2292,906,24.7,50759.0,1020.0,0
1,3588,1340,31.9,37799.0,1850.0,1
1,4838,1865,10.6,53973.0,1850.0,0
1,3511,1333,28.3,43750.0,1952.0,1
1,2122,854,26.8,41458.0,1302.0,0
1,1704,669,15.7,48942.0,547.0,1
1,2141,886,15.0,64091.0,809.0,0
0,4011,1582,8.5,69926.0,959.0,0
0,3656,1363,12.4,83420.0,784.0,0
0,4918,1866,11.5,66563.0,1546.0,1
1,3317,1259,12.7,60542.0,953.0,1
1,4186,1630,21.6,56875.0,1598.0,1
0,12502,4746,6.2,90138.0,2434.0,0
1,9787,3468,5.6,110337.0,1637.0,1
1,2802,1225,24.5,46935.0,1141.0,1
0,5666,2414,8.4,106563.0,1520.0,0
1,5433,2424,9.3,120313.0,932.0,1
1,3929,1712,18.3,82375.0,1311.0,1
1,5759,2162,3.9,119479.0,603.0,1
1,3648,1880,12.7,76364.0,993.0,0
1,3309,1423,3.5,88542.0,393.0,1
1,5180,2022,6.0,122870.0,743.0,1
1,4162,1627,3.8,93583.0,614.0,1
1,8852,3319,2.9,144015.0,802.0,1
0,4689,2001,29.5,44119.0,2548.0,0
0,5713,2332,20.4,49255.0,2349.0,0
0,4162,1770,12.7,55953.0,1575.0,0
1,1959,506,39.1,,569.0,1
1,1953,1134,39.5,54625.0,1148.0,0
1,1513,694,51.3,23145.0,796.0,0
1,2871,1246,25.4,67943.0,1272.0,0
1,2740,1268,35.4,39560.0,1918.0,1
1,2098,812,37.1,25200.0,1342.0,0
1,3797,1559,25.3,38000.0,2175.0,1
1,7081,3303,24.4,57381.0,2911.0,0
1,4612,2145,19.3,46042.0,2678.0,0
1,5919,2380,5.7,72045.0,1277.0,1
1,4465,2040,8.4,65050.0,1400.0,1
0,4023,1654,12.3,62659.0,1415.0,0
0,2353,943,13.9,47500.0,971.0,1
0,6563,2543,9.6,63760.0,2239.0,0
1,6260,2706,8.1,74375.0,1777.0,1
0,5231,2078,10.4,81370.0,900.0,0
0,5073,1912,10.9,66917.0,1244.0,0
0,4478,1777,7.5,62101.0,1582.0,0
0,6610,2523,9.5,86625.0,1751.0,0
0,4480,1897,9.4,62698.0,1467.0,0
0,4922,1941,10.9,69375.0,1543.0,0
0,3708,1619,12.9,70179.0,1270.0,0
0,1668,699,13.1,56875.0,549.0,0
0,4655,1952,19.2,46667.0,1753.0,0
0,4615,1824,14.9,61437.0,1599.0,1
1,4514,1873,22.4,48000.0,1771.0,1
0,6071,2334,20.0,60769.0,2121.0,0
